"participant","block","trial","correct","latency"
244,"test.sc_dark.Darkbad","goodright",1,609
244,"test.sc_dark.Darkbad","goodright",1,554
244,"test.sc_dark.Darkbad","goodright",1,623
244,"test.sc_dark.Darkbad","badleft",0,491
244,"test.sc_dark.Darkbad","badleft",0,717
244,"test.sc_dark.Darkbad","goodright",1,2075
244,"test.sc_dark.Darkbad","darkleft",1,592
244,"test.sc_dark.Darkbad","goodright",1,732
244,"test.sc_dark.Darkbad","badleft",1,589
244,"test.sc_dark.Darkbad","goodright",1,689
244,"test.sc_dark.Darkbad","goodright",1,947
244,"test.sc_dark.Darkbad","darkleft",1,2574
244,"test.sc_dark.Darkbad","goodright",1,973
244,"test.sc_dark.Darkbad","darkleft",1,534
244,"test.sc_dark.Darkbad","goodright",1,568
244,"test.sc_dark.Darkbad","badleft",1,598
244,"test.sc_dark.Darkbad","darkleft",1,757
244,"test.sc_dark.Darkbad","goodright",1,588
244,"test.sc_dark.Darkbad","darkleft",1,824
244,"test.sc_dark.Darkbad","darkleft",1,468
244,"test.sc_dark.Darkbad","badleft",1,704
244,"test.sc_dark.Darkbad","darkleft",1,780
244,"test.sc_dark.Darkbad","goodright",1,549
244,"test.sc_dark.Darkbad","darkleft",1,562
244,"test.sc_dark.Darkbad","badleft",1,665
244,"test.sc_dark.Darkgood","darkright",1,624
244,"test.sc_dark.Darkgood","badleft",1,588
244,"test.sc_dark.Darkgood","darkright",1,672
244,"test.sc_dark.Darkgood","badleft",1,693
244,"test.sc_dark.Darkgood","goodright",1,566
244,"test.sc_dark.Darkgood","goodright",1,541
244,"test.sc_dark.Darkgood","badleft",1,630
244,"test.sc_dark.Darkgood","goodright",1,707
244,"test.sc_dark.Darkgood","goodright",1,654
244,"test.sc_dark.Darkgood","darkright",1,680
244,"test.sc_dark.Darkgood","badleft",1,631
244,"test.sc_dark.Darkgood","badleft",1,651
244,"test.sc_dark.Darkgood","badleft",1,540
244,"test.sc_dark.Darkgood","alert",1,854
244,"test.sc_dark.Darkgood","goodright",1,1063
244,"test.sc_dark.Darkgood","badleft",1,594
244,"test.sc_dark.Darkgood","darkright",1,793
244,"test.sc_dark.Darkgood","goodright",1,589
244,"test.sc_dark.Darkgood","badleft",1,561
244,"test.sc_dark.Darkgood","goodright",1,824
244,"test.sc_dark.Darkgood","badleft",1,836
244,"test.sc_dark.Darkgood","darkright",1,610
244,"test.sc_dark.Darkgood","goodright",1,812
244,"test.sc_dark.Darkgood","badleft",1,549
244,"test.sc_dark.Darkgood","darkright",1,433
244,"test.sc_dark.Darkgood","darkright",1,584
244,"test.sc_dark.Darkgood","goodright",1,813
244,"test.sc_dark.Darkgood","badleft",1,574
244,"test.sc_dark.Darkgood","badleft",1,663
244,"test.sc_dark.Darkgood","badleft",1,732
244,"test.sc_dark.Darkgood","darkright",1,685
244,"test.sc_dark.Darkgood","badleft",1,572
244,"test.sc_dark.Darkgood","badleft",1,637
244,"test.sc_dark.Darkgood","badleft",1,596
244,"test.sc_dark.Darkgood","badleft",1,651
244,"test.sc_dark.Darkgood","darkright",1,644
244,"test.sc_dark.Darkgood","badleft",1,667
244,"test.sc_dark.Darkgood","goodright",1,815
244,"test.sc_dark.Darkgood","goodright",1,744
244,"test.sc_dark.Darkgood","darkright",1,620
244,"test.sc_dark.Darkgood","darkright",1,496
244,"test.sc_dark.Darkgood","badleft",1,642
244,"test.sc_dark.Darkgood","badleft",1,609
244,"test.sc_dark.Darkgood","badleft",1,527
244,"test.sc_dark.Darkgood","goodright",1,678
244,"test.sc_dark.Darkgood","darkright",1,589
244,"test.sc_dark.Darkgood","darkright",1,593
244,"test.sc_dark.Darkgood","goodright",1,822
244,"test.sc_dark.Darkgood","goodright",1,575
244,"test.sc_dark.Darkgood","badleft",1,760
244,"test.sc_dark.Darkgood","goodright",1,695
244,"test.sc_dark.Darkgood","badleft",1,576
244,"test.sc_dark.Darkgood","goodright",1,570
244,"test.sc_dark.Darkgood","darkright",1,603
244,"test.sc_dark.Darkgood","darkright",1,490
244,"test.sc_dark.Darkgood","goodright",1,620
244,"test.sc_dark.Darkgood","darkright",1,496
244,"test.sc_dark.Darkgood","darkright",1,458
244,"test.sc_dark.Darkgood","goodright",1,675
244,"test.sc_dark.Darkgood","alert",1,703
244,"test.sc_dark.Darkgood","goodright",1,947
244,"test.sc_dark.Darkgood","badleft",1,703
244,"test.sc_dark.Darkgood","darkright",1,499
244,"test.sc_dark.Darkgood","darkright",1,495
244,"test.sc_dark.Darkgood","badleft",1,785
244,"test.sc_dark.Darkgood","badleft",1,1421
244,"test.sc_dark.Darkgood","badleft",1,829
244,"test.sc_dark.Darkgood","goodright",1,505
244,"test.sc_dark.Darkgood","badleft",1,549
244,"test.sc_dark.Darkgood","darkright",1,458
244,"test.sc_dark.Darkgood","alert",1,579
244,"test.sc_dark.Darkgood","darkright",1,488
8,"test.sc_dark.Darkgood","darkright",1,837
8,"test.sc_dark.Darkgood","badleft",1,635
8,"test.sc_dark.Darkgood","darkright",1,498
8,"test.sc_dark.Darkgood","goodright",1,1172
8,"test.sc_dark.Darkgood","badleft",1,636
8,"test.sc_dark.Darkgood","goodright",1,675
8,"test.sc_dark.Darkgood","darkright",1,466
8,"test.sc_dark.Darkgood","darkright",1,390
8,"test.sc_dark.Darkgood","goodright",1,555
8,"test.sc_dark.Darkgood","badleft",1,631
8,"test.sc_dark.Darkgood","goodright",1,563
8,"test.sc_dark.Darkgood","badleft",1,778
8,"test.sc_dark.Darkgood","goodright",1,643
8,"test.sc_dark.Darkgood","badleft",1,1042
8,"test.sc_dark.Darkgood","darkright",1,480
8,"test.sc_dark.Darkgood","goodright",1,767
8,"test.sc_dark.Darkgood","badleft",1,918
8,"test.sc_dark.Darkgood","badleft",1,604
8,"test.sc_dark.Darkgood","badleft",1,619
8,"test.sc_dark.Darkgood","goodright",1,669
8,"test.sc_dark.Darkgood","badleft",1,641
8,"test.sc_dark.Darkgood","goodright",1,823
8,"test.sc_dark.Darkgood","darkright",1,555
8,"test.sc_dark.Darkgood","badleft",1,1191
8,"test.sc_dark.Darkgood","darkright",1,434
8,"test.sc_dark.Darkgood","badleft",1,671
8,"test.sc_dark.Darkgood","goodright",1,563
8,"test.sc_dark.Darkgood","badleft",1,594
8,"test.sc_dark.Darkgood","darkright",1,945
8,"test.sc_dark.Darkgood","goodright",1,717
